pop	state	county	tract
3903	39	051	040400
5086	39	051	040500
4339	39	051	040600
7451	39	051	040700
4766	39	051	040800
4512	39	051	040900
4772	39	053	953500
4212	39	053	953600
4460	39	053	953700
3968	39	053	953800
7305	39	053	953900
3622	39	053	954000
2424	39	053	954100
2235	39	055	310100
2017	39	055	310200
6286	39	055	310600
4023	39	055	310700
6648	39	055	310800
3215	39	055	310900
3662	39	055	311000
4438	39	055	311300
5574	39	055	311400
5340	39	055	311500
3840	39	055	311600
4240	39	055	311700
7216	39	055	311800
6485	39	055	311900
2801	39	055	312000
4164	39	055	312100
5534	39	055	312201
4235	39	055	312202
4670	39	055	312203
4593	39	055	312300
2603	39	055	312400
2561	39	057	200101
3771	39	057	200103
6498	39	057	200104
3608	39	057	200300
2051	39	057	200400
5678	39	057	200500
3307	39	057	200600
4214	39	057	200700
5878	39	057	200900
5316	39	057	210100
8199	39	057	210200
3497	39	057	210300
4997	39	057	210401
5210	39	057	210402
5485	39	057	210500
8807	39	057	210601
5403	39	057	210602
6047	39	057	210603
8058	39	057	220100
7502	39	057	220200
2640	39	057	230100
3307	39	057	240100
4555	39	057	240200
8985	39	057	240301
3330	39	057	240302
4504	39	057	240500
5317	39	057	240600
2297	39	057	240700
3454	39	057	255000
6505	39	057	260100
3765	39	057	270100
2592	39	057	280101
2130	39	057	280102
1389	39	057	280200
2456	39	057	280300
4552	39	059	977100
5100	39	059	977200
3344	39	059	977300
3987	39	059	977400
3373	39	059	977500
3045	39	059	977600
3681	39	059	977700
3671	39	059	977800
4556	39	059	977900
4485	39	059	978000
927	39	061	000200
2038	39	061	000700
1238	39	061	000900
1452	39	061	001000
1042	39	061	001100
965	39	061	001600
913	39	061	001700
1632	39	061	001800
1609	39	061	001900
1602	39	061	002000
2291	39	061	002200
1228	39	061	002300
2369	39	061	002500
4036	39	061	002600
1865	39	061	002700
1687	39	061	002800
5294	39	061	002900
4554	39	061	003000
1515	39	061	003200
1667	39	061	003300
1200	39	061	003600
1715	39	061	003700
2155	39	061	003800
1835	39	061	003900
2307	39	061	004000
1578	39	061	004100
1847	39	061	004200
1064	39	061	004500
4717	39	061	004602
3045	39	061	004603
3464	39	061	004604
2437	39	061	004605
2964	39	061	004701
829	39	061	004702
3327	39	061	004800
6892	39	061	004900
4944	39	061	005000
2485	39	061	005100
3450	39	061	005200
2718	39	061	005301
3096	39	061	005302
931	39	061	005400
3930	39	061	005500
5772	39	061	005600
3067	39	061	005701
4542	39	061	005702
5211	39	061	005800
1230	39	061	005900
6000	39	061	006000
2774	39	061	006100
3681	39	061	006300
3141	39	061	006400
5778	39	061	006500
2473	39	061	006600
3789	39	061	006800
2483	39	061	006900
2653	39	061	007000
3568	39	061	007100
2123	39	061	007200
1996	39	061	007300
1546	39	061	007400
1820	39	061	007500
2734	39	061	007700
2218	39	061	007800
1704	39	061	007900
4901	39	061	008000
2672	39	061	008100
3975	39	061	008201
3432	39	061	008202
4480	39	061	008300
2066	39	061	008400
3350	39	061	008501
1646	39	061	008502
2545	39	061	008601
3495	39	061	008800
3877	39	061	009200
2675	39	061	009300
1785	39	061	009400
2479	39	061	009500
3982	39	061	009600
6160	39	061	009700
2308	39	061	009800
4161	39	061	009901
3438	39	061	009902
5613	39	061	010002
4446	39	061	010003
5180	39	061	010004
1772	39	061	010005
5128	39	061	010100
5391	39	061	010201
2496	39	061	010202
1831	39	061	010300
1099	39	061	010400
1414	39	061	010500
1435	39	061	010600
1717	39	061	010700
799	39	061	010800
2570	39	061	010900
2913	39	061	011000
3290	39	061	011100
5180	39	061	020401
5536	39	061	020403
5126	39	061	020404
2321	39	061	020501
4957	39	061	020502
3545	39	061	020504
4525	39	061	020505
6080	39	061	020601
